Agency ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2017-18,"Total Students, All Grades (Excludes AE) [Public School] 2017-18",Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19
1301230,SUDER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,659,656,336,0,656,540,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Suder Elementary School,Clayton County,13063,30236,Jonesboro,33,698,1,25,495,116,27,1
1304380,SUE REYNOLDS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,946,912,355,0,912,743,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Sue Reynolds Elementary School,Richmond County,13245,30909,Augusta,30,556,1,68,418,32,5,2
1302610,SUGAR HILL ELEMENTARY,Georgia,41-Rural: Fringe,679,482,212,79,561,583,NA,130261000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugar Hill Elementary,Hall County,13139,30507,Gainesville,17,653,0,92,22,516,4,2
1302550,SUGAR HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1181,429,194,77,506,980,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugar Hill Elementary School,Gwinnett County,13135,30518,Sugar Hill,64,1141,0,467,189,283,138,0
1300780,SUGARMILL ELEMENTARY,Georgia,32-Town: Distant,544,174,110,60,234,411,NA,130078000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sugarmill Elementary,Camden County,13039,31558,Saint Marys,41,566,1,377,85,54,8,0
1302550,SUMMEROUR MIDDLE SCHOOL,Georgia,21-Suburb: Large,1734,1387,675,145,1532,1734,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Summerour Middle School,Gwinnett County,13135,30071,Norcross,24,1716,2,59,318,1204,104,5
1301080,SUMMERVILLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,345,279,178,37,316,345,NA,130108000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Summerville Middle School,Chattooga County,13055,30747,Summerville,25,361,0,235,55,45,0,1
1302280,SUMMIT HILL ELEMENTARY,Georgia,21-Suburb: Large,702,14,8,3,17,591,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Summit Hill Elementary,Fulton County,13121,30004,Alpharetta,29,726,1,572,44,39,41,0
1304620,SUMTER COUNTY EARLY LEARNING CENTER (OLD SARAH COBB ES),Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130462000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304620,SUMTER COUNTY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,611,600,416,0,600,611,NA,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),3rd Grade,2nd Grade,Sumter County Elementary School,Sumter County,13261,31719,Americus,9,563,0,43,430,78,1,2
1304620,SUMTER COUNTY INTERMEDIATE SCHOOL,Georgia,41-Rural: Fringe,906,904,557,0,904,906,NA,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),6th Grade,4th Grade,Sumter County Intermediate School,Sumter County,13261,31719,Americus,12,926,0,69,728,114,3,0
1304620,SUMTER COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,561,559,319,0,559,561,NA,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,7th Grade,Sumter County Middle School,Sumter County,13261,31719,Americus,9,566,0,50,443,64,0,0
1304620,SUMTER COUNTY PRIMARY SCHOOL,Georgia,41-Rural: Fringe,838,827,404,0,827,300,NA,130462000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1st Grade,Prekindergarten,Sumter County Primary School,Sumter County,13261,31719,Americus,20,799,0,57,623,97,1,1
1300026,SUMTER YOUTH DEVELOPMENT CAMPUS,Georgia,32-Town: Distant,54,.,3,.,3,2,52,130003000000,5-Title I schoolwide school,No,12th Grade,9th Grade,Sumter Youth Development Campus,Sumter County,13261,31719,Americus,0,17,0,1,15,1,0,0
1301380,SUNSET ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,641,609,286,0,609,485,NA,130138000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Sunset Elementary School,Colquitt County,13071,31768,Moultrie,20,651,0,290,182,127,32,0
1301870,SUSIE DASHER,Georgia,33-Town: Remote,583,583,285,0,583,371,NA,130187000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),4th Grade,Prekindergarten,Susie Dasher,Laurens County,13175,31021,Dublin,10,571,0,13,535,11,2,0
1301020,SUSIE KING TAYLOR COMMUNITY SCHOOL,GEORGIA,12-City: Mid-size,172,76,52,16,92,119,NA,130102000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Susie King Taylor Community School,Chatham County,13051,31401,Savannah,13,214,0,82,111,5,3,0
1300120,SUTTON MIDDLE SCHOOL,Georgia,11-City: Large,1552,445,249,50,495,1552,NA,130012000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Sutton Middle School,Fulton County,13121,30305,Atlanta,61,1614,0,615,458,420,46,14
1302550,SUWANEE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,617,78,30,22,100,523,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Suwanee Elementary School,Gwinnett County,13135,30024,Suwanee,50,657,0,268,82,65,190,2
1302430,SWAIN ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,484,294,92,61,355,381,NA,130243000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Swain Elementary School,Gordon County,13129,30733,Plainville,15,447,0,349,6,74,2,1
1302040,SWAINSBORO ELEMENTARY SCHOOL,Georgia,33-Town: Remote,734,644,417,0,644,734,NA,130204000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Swainsboro Elementary School,Emanuel County,13107,30401,Swainsboro,25,712,0,277,341,62,7,0
1302040,SWAINSBORO HIGH SCHOOL,Georgia,33-Town: Remote,734,643,291,0,643,NA,734,130204000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Swainsboro High School,Emanuel County,13107,30401,Swainsboro,12,710,0,296,330,65,5,2
1302040,SWAINSBORO MIDDLE SCHOOL,Georgia,33-Town: Remote,686,602,342,0,602,686,NA,130204000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Swainsboro Middle School,Emanuel County,13107,30401,Swainsboro,23,734,0,283,343,79,6,0
1302040,SWAINSBORO PRIMARY SCHOOL,Georgia,33-Town: Remote,926,790,409,0,790,488,NA,130204000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Swainsboro Primary School,Emanuel County,13107,30401,Swainsboro,22,871,0,360,395,84,9,1
1302280,SWEET APPLE ELEMENTARY SCHOOL,Georgia,13-City: Small,769,29,14,7,36,639,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sweet Apple Elementary School,Fulton County,13121,30075,Roswell,33,778,0,630,33,49,32,1
1301860,SWEETWATER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,570,436,190,30,466,480,NA,130186000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Sweetwater Elementary School,Douglas County,13097,30122,Lithia Springs,32,490,0,66,246,139,7,0
1302550,SWEETWATER MIDDLE SCHOOL,Georgia,21-Suburb: Large,1506,1225,531,152,1377,1506,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Sweetwater Middle School,Gwinnett County,13135,30044,Lawrenceville,31,1580,1,38,407,1001,98,4
1301230,SWINT ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,718,714,410,0,714,600,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Swint Elementary School,Clayton County,13063,30238,Jonesboro,22,747,0,14,534,173,4,0
1302550,SYCAMORE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,781,384,158,60,444,635,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sycamore Elementary School,Gwinnett County,13135,30518,Sugar Hill,32,814,0,260,136,350,34,2
1300120,SYLVAN HILLS MIDDLE SCHOOL,Georgia,11-City: Large,585,585,338,0,585,585,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Sylvan Hills Middle School,Fulton County,13121,30310,Atlanta,4,550,0,0,532,13,1,0
1300026,T J LOFTISS II REGIONAL YOUTH DETENTION CENTER,Georgia,32-Town: Distant,4,NA,NA,NA,NA,1,3,130003000000,5-Title I schoolwide school,No,10th Grade,8th Grade,T J Loftiss II Regional Youth Detention Center,Thomas County,13275,31792,Thomasville,0,4,0,1,3,0,0,0
1302550,T. CARL BUICE SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130255000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305490,T. J. ELDER MIDDLE SCHOOL,Georgia,33-Town: Remote,717,558,343,0,558,717,NA,130549000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,T. J. Elder Middle School,Washington County,13303,31082,Sandersville,27,733,0,228,459,11,6,2
1303720,T.G. SCOTT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,695,257,163,35,292,528,NA,130372000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,T.G. Scott Elementary School,Monroe County,13207,31029,Forsyth,25,719,0,514,149,28,2,1
1302610,TADMORE ELEMENTARY SCHOOL,Georgia,22-Suburb: Mid-size,564,498,221,42,540,434,NA,130261000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Tadmore Elementary School,Hall County,13139,30507,Gainesville,9,557,0,75,11,461,1,0
1304680,TALIAFERRO COUNTY SCHOOL,Georgia,43-Rural: Remote,173,130,126,0,130,109,46,130468000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,Prekindergarten,Taliaferro County School,Taliaferro County,13265,30631,Crawfordville,2,173,0,21,132,15,3,0
1302670,TALLAPOOSA PRIMARY SCHOOL,Georgia,42-Rural: Distant,499,442,339,0,442,259,NA,130267000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Tallapoosa Primary School,Haralson County,13143,30176,Tallapoosa,14,457,1,422,11,8,1,0
1301740,TAPESTRY PUBLIC CHARTER SCHOOL,GEORGIA,21-Suburb: Large,205,30,23,3,33,105,100,130174000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,6th Grade,Tapestry Public Charter School,DeKalb County,13089,30340,Doraville,4,248,0,118,86,37,3,0
1301290,TAPP MIDDLE SCHOOL,Georgia,21-Suburb: Large,901,490,202,117,607,901,NA,130129000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Tapp Middle School,Cobb County,13067,30127,Powder Springs,35,962,1,90,569,254,7,6
1301230,TARA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,742,738,475,0,738,596,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Tara Elementary School,Clayton County,13063,30260,Morrow,9,730,0,21,491,198,11,0
1304110,TATE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,304,126,68,38,164,241,NA,130411000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,4th Grade,Prekindergarten,Tate Elementary School,Pickens County,13227,30177,Tate,13,449,0,402,6,26,2,0
1304770,TATTNALL COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,1024,923,300,0,923,NA,1024,130477000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Tattnall County High School,Tattnall County,13267,30453,Reidsville,22,1001,2,533,249,189,4,2
1304800,TAYLOR COUNTY HIGH SCHOOL,Georgia,43-Rural: Remote,411,244,176,22,266,NA,411,130480000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Taylor County High School,Taylor County,13269,31006,Butler,2,407,0,237,154,9,5,0
1304800,TAYLOR COUNTY MIDDLE SCHOOL,Georgia,43-Rural: Remote,192,122,86,11,133,192,NA,130480000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,7th Grade,Taylor County Middle School,Taylor County,13269,31006,Butler,3,199,1,123,63,4,4,1
1304800,TAYLOR COUNTY PRIMARY SCHOOL,Georgia,43-Rural: Remote,302,271,176,0,271,202,NA,130480000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),2nd Grade,Kindergarten,Taylor County Primary School,Taylor County,13269,31006,Butler,7,294,0,155,124,7,1,0
1304800,TAYLOR COUNTY UPPER ELEMENTARY,Georgia,43-Rural: Remote,466,418,199,0,418,396,NA,130480000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),6th Grade,3rd Grade,Taylor County Upper Elementary,Taylor County,13269,31006,Butler,8,474,0,233,220,10,2,1
1302550,TAYLOR ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,902,364,185,86,450,751,NA,130255000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Taylor Elementary School,Gwinnett County,13135,30043,Lawrenceville,55,862,4,238,235,233,96,1
1302280,TAYLOR ROAD MIDDLE SCHOOL,Georgia,21-Suburb: Large,1336,116,36,33,149,1336,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Taylor Road Middle School,Fulton County,13121,30022,Alpharetta,67,1358,2,596,188,161,343,1
1303300,TAYLORS CREEK ELEMENTARY SCHOOL,Georgia,13-City: Small,666,337,183,69,406,536,NA,130330000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Taylors Creek Elementary School,Liberty County,13179,31313,Hinesville,80,710,2,205,309,103,8,3
1300330,TAYLORSVILLE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,509,222,110,59,281,401,NA,130033000000,5-Title I schoolwide school,Yes under Provision 2,5th Grade,Prekindergarten,Taylorsville Elementary School,Bartow County,13015,30178,Taylorsville,27,511,0,410,22,49,0,3
1301290,TEASLEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,914,205,79,49,254,716,NA,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Teasley Elementary School,Cobb County,13067,30080,Smyrna,20,928,0,202,412,60,230,4
1301110,TEASLEY MIDDLE SCHOOL,Georgia,21-Suburb: Large,1531,764,422,97,861,1531,NA,130111000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Teasley Middle School,Cherokee County,13057,30114,Canton,42,1590,1,846,91,600,10,0
1304830,TELFAIR ALTERNATIVE PREPARATION SCHOOL,GEORGIA,33-Town: Remote,20,19,17,0,19,7,13,130483000000,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),12th Grade,7th Grade,Telfair Alternative Preparation School,Telfair County,13271,31055,Mc Rae Helena,1,22,0,8,13,0,0,0
1304830,TELFAIR COUNTY ELEMENTARY,Georgia,33-Town: Remote,860,830,309,0,830,621,NA,130483000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Telfair County Elementary,Telfair County,13271,31055,Mc Rae Helena,38,870,0,411,330,85,6,0
1304830,TELFAIR COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,487,470,162,0,470,NA,487,130483000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Telfair County High School,Telfair County,13271,31055,Mc Rae Helena,17,459,0,240,182,19,1,0
1304830,TELFAIR COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,390,376,164,0,376,390,NA,130483000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Telfair County Middle School,Telfair County,13271,31055,Mc Rae Helena,9,377,0,180,160,27,0,1
1300840,TEMPLE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,595,349,173,67,416,457,NA,130084000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Temple Elementary School,Carroll County,13045,30179,Temple,38,588,0,389,126,31,3,1
1300840,TEMPLE HIGH SCHOOL,Georgia,21-Suburb: Large,654,303,127,67,370,NA,654,130084000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Temple High School,Carroll County,13045,30179,Temple,32,627,1,454,90,44,4,2
1300840,TEMPLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,444,246,132,56,302,444,NA,130084000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Temple Middle School,Carroll County,13045,30179,Temple,38,492,1,342,73,31,6,1
1304380,TERRACE MANOR ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,531,511,370,0,511,418,NA,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Terrace Manor Elementary School,Richmond County,13245,30906,Augusta,10,459,0,17,400,28,2,2
1304860,TERRELL HIGH SCHOOL,Georgia,41-Rural: Fringe,370,104,268,0,104,NA,370,130486000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Terrell High School,Terrell County,13273,39842,Dawson,1,344,0,9,327,4,3,0
1304860,TERRELL MIDDLE SCHOOL,Georgia,41-Rural: Fringe,305,NA,241,NA,NA,305,NA,130486000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Terrell Middle School,Terrell County,13273,39842,Dawson,2,300,0,16,273,9,0,0
1300026,TERRELL REGIONAL YOUTH DETENTION CENTER,GEORGIA,41-Rural: Fringe,8,NA,NA,NA,NA,4,4,130003000000,5-Title I schoolwide school,No,10th Grade,6th Grade,Terrell Regional Youth Detention Center,Terrell County,13273,39842,Dawson,0,10,0,2,8,0,0,0
1305670,TESNATEE GAP ELEMENTARY (OLD WHITE CO. INTERMEDIATE),Georgia,41-Rural: Fringe,439,201,101,34,235,360,NA,130567000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Tesnatee Gap Elementary (Old White Co. Intermediate),White County,13311,30528,Cleveland,21,452,0,402,1,24,3,1
1302310,THE ACADEMY AT WOODS MILL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130231000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300120,THE BEST ACADEMY HIGH SCHOOL AT BENJAMIN S. CARSON,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301740,THE CHAMPION MIDDLE THEME SCHOOL,Georgia,21-Suburb: Large,800,429,193,81,510,800,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,The Champion Middle Theme School,DeKalb County,13089,30083,Stone Mountain,5,802,0,2,783,9,1,2
1300120,THE JOHN HOPE-CHARLES WALTER HILL ELEMENTARY SCHOOLS,Georgia,11-City: Large,420,420,169,0,420,332,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,The John Hope-Charles Walter Hill Elementary Schools,Fulton County,13121,30312,Atlanta,5,446,0,18,404,18,1,0
1304890,THE RENAISSANCE CENTER FOR ACADEMIC AND CAREER DEVELOPMENT,GEORGIA,32-Town: Distant,34,23,18,0,23,NA,34,130489000000,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,The Renaissance Center for Academic and Career Development,Thomas County,13275,31792,Thomasville,0,31,0,16,12,3,0,0
1301020,THE SCHOOL OF LIBERAL STUDIES AT SAVANNAH HIGH,Georgia,12-City: Mid-size,550,345,279,14,359,NA,550,130102000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,The School of Liberal Studies at Savannah High,Chatham County,13051,31404,Savannah,12,521,0,14,489,5,0,1
1300120,THE SCHOOL OF THE ARTS AT CARVER,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301020,THE STEM ACADEMY AT BARTLETT,Georgia,12-City: Mid-size,703,163,90,35,198,703,NA,130102000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,The STEM Academy at Bartlett,Chatham County,13051,31406,Savannah,63,695,1,335,184,79,30,3
1300120,THERRELL HIGH SCHOOL,GEORGIA,11-City: Large,810,810,319,0,810,NA,810,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Therrell High School,Fulton County,13121,30311,Atlanta,1,851,0,0,832,17,0,1
1300120,THERRELL SCHOOL OF ENGINEERING- MATH- AND SCIENCE,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300120,THERRELL SCHOOL OF HEALTH AND SCIENCE,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300120,THERRELL SCHOOL OF LAW- GOVERNMENT AND PUBLIC POLICY - C,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304890,THOMAS COUNTY CENTRAL HIGH SCHOOL,Georgia,32-Town: Distant,1440,991,534,0,991,NA,1440,130489000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Thomas County Central High School,Thomas County,13275,31792,Thomasville,37,1392,3,755,477,101,15,4
1304890,THOMAS COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,1742,1199,834,0,1199,1742,NA,130489000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,5th Grade,Thomas County Middle School,Thomas County,13275,31792,Thomasville,59,1767,4,942,640,108,12,2
1301500,THOMAS CROSSROADS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,411,78,56,12,90,325,NA,130150000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Thomas Crossroads Elementary School,Coweta County,13077,30277,Sharpsburg,19,406,0,308,34,37,7,1
1300120,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,Georgia,11-City: Large,495,495,233,0,495,376,NA,130012000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Thomasville Heights Elementary School,Fulton County,13121,30315,Atlanta,2,462,0,0,453,4,2,1
1304950,THOMASVILLE HIGH SCHOOL,Georgia,32-Town: Distant,762,372,284,28,400,NA,762,130495000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Thomasville High School,Thomas County,13275,31792,Thomasville,7,764,0,259,479,12,4,3
1303570,THOMSON ELEMENTARY SCHOOL,Georgia,32-Town: Distant,467,367,290,32,399,467,NA,130357000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,3rd Grade,2nd Grade,Thomson Elementary School,McDuffie County,13189,30824,Thomson,20,441,1,107,299,13,1,0
1303570,THOMSON HIGH SCHOOL,Georgia,41-Rural: Fringe,1144,625,436,113,738,NA,1144,130357000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Thomson High School,McDuffie County,13189,30824,Thomson,35,1037,1,407,545,43,5,1
1302880,THOMSON MIDDLE SCHOOL,Georgia,22-Suburb: Mid-size,750,418,262,71,489,750,NA,130288000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Thomson Middle School,Houston County,13153,31028,Centerville,50,779,1,242,377,75,31,3
1303570,THOMSON-MCDUFFIE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,853,562,419,77,639,853,NA,130357000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Thomson-McDuffie Middle School,McDuffie County,13189,30824,Thomson,37,875,0,298,496,42,2,0
1301020,THUNDERBOLT ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130102000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301230,THURGOOD MARSHALL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,919,914,498,0,914,768,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Thurgood Marshall Elementary School,Clayton County,13063,30260,Morrow,21,870,2,23,612,146,64,2
1304980,TIFT COUNTY HIGH SCHOOL,Georgia,32-Town: Distant,1640,1582,558,0,1582,NA,1640,130498000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Tift County High School,Tift County,13277,31794,Tifton,39,2224,0,1018,722,420,24,1
1300930,TIGER CREEK ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,465,262,134,50,312,368,NA,130093000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Tiger Creek Elementary School,Catoosa County,13047,30755,Tunnel Hill,11,484,2,440,7,19,4,1
1301290,TIMBER RIDGE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,571,7,3,4,11,483,NA,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Timber Ridge Elementary School,Cobb County,13067,30068,Marietta,20,551,0,400,23,34,74,0
1302820,TIMBER RIDGE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,583,150,100,24,174,501,NA,130282000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Timber Ridge Elementary School,Henry County,13151,30252,McDonough,35,612,1,307,211,43,14,1
