,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
2263,TURNER MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,780,800.0,779.0,776.0,792,570,568,541,548,567,279,287.0,262,71,58,58,60,65,641,626.0,599,608,632,770,800.0,779.0,776.0,792,,,,,,130186000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Turner Middle School,Douglas County,13097.0,30122.0,Lithia Springs,24,19,780,792.0,4,7,113,144,345,376,290,237,4,9,0,0,1301860.0
2264,TURNER WOODS ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,632,626.0,642.0,653.0,642,225,254,245,239,208,126,165.0,171,43,32,44,41,57,268,286.0,289,280,265,484,494.0,494.0,497.0,506,,,,,,130315000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Turner Woods Elementary School,Jones County,13169.0,31032.0,Gray,19,13,632,642.0,2,0,516,534,78,86,15,9,2,0,0,0,1303150.0
2265,TUSKEGEE AIRMAN GLOBAL ACADEMY,GEORGIA,11-City: Large,11-City: Large,11-City: Large,,,644,666.0,703.0,,,644,666,703,,,277,277.0,432,0,0,0,,,644,666.0,703,,,511,561.0,573.0,,,,,,,,130012000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),,,5th Grade,Prekindergarten,Tuskegee Airman Global Academy,Fulton County,13121.0,30311.0,Atlanta,1,,644,,0,,1,,636,,4,,1,,1,,1300120.0
2266,TUSSAHAW ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,829,756.0,753.0,730.0,565,536,521,486,507,363,335,375.0,371,65,46,53,49,41,601,567.0,539,556,404,669,616.0,646.0,608.0,490,,,,,,130282000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Tussahaw Elementary,Henry County,13151.0,30252.0,McDonough,30,31,829,565.0,1,1,99,105,619,379,68,40,12,9,0,0,1302820.0
2267,TUTT MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,441,481.0,468.0,500.0,507,425,463,453,484,491,203,291.0,225,0,0,0,0,0,425,463.0,453,484,491,431,481.0,468.0,500.0,507,,,,,,130438000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Tutt Middle School,Richmond County,13245.0,30909.0,Augusta,23,24,441,507.0,3,2,85,102,307,350,19,22,3,6,1,1,1304380.0
2268,TWIGGS COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,240,259.0,267.0,245.0,268,240,236,251,227,252,97,110.0,113,0,0,16,15,0,240,236.0,267,242,252,,,,,,240,259.0,267.0,245.0,268,130522000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Twiggs County High School,Twiggs County,13289.0,31044.0,Jeffersonville,8,6,240,268.0,0,0,73,76,154,184,4,2,1,0,0,0,1305220.0
2269,TWIGGS MIDDLE SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,178,160.0,176.0,179.0,208,178,146,150,171,195,93,87.0,97,0,0,26,5,0,178,146.0,176,176,195,168,160.0,176.0,179.0,208,,,,,,130522000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Twiggs Middle School,Twiggs County,13289.0,31044.0,Jeffersonville,2,6,178,208.0,0,0,69,77,106,123,1,2,0,0,0,0,1305220.0
2270,TWIN CITY ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,606,616.0,614.0,622.0,635,527,600,583,545,447,239,271.0,247,0,0,0,0,82,527,600.0,583,545,529,435,463.0,466.0,456.0,445,,,,,,130204000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Twin City Elementary School,Emanuel County,13107.0,30471.0,Twin City,17,24,606,635.0,0,0,381,406,176,178,30,23,2,2,0,2,1302040.0
2271,TWIN OAKS ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,731,730.0,757.0,748.0,781,287,288,305,292,288,233,226.0,247,56,39,37,31,56,343,327.0,342,323,344,721,730.0,757.0,748.0,781,,,,,,130327000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,3rd Grade,Twin Oaks Elementary,Lee County,13177.0,31763.0,Leesburg,23,26,731,781.0,0,0,492,560,177,148,19,16,20,29,0,2,1303270.0
2272,TWIN RIVERS MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,2103,2013.0,2007.0,1621.0,1570,617,654,582,492,504,212,295.0,200,195,167,180,137,133,812,821.0,762,629,637,2093,2013.0,2007.0,1621.0,1570,,,,,,130255000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Twin Rivers Middle School,Gwinnett County,13135.0,30519.0,Buford,87,75,2103,1570.0,3,2,707,656,586,371,473,334,244,123,3,9,1302550.0
2273,TYBEE ISLAND MARITIME ACADEMY SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,284,279.0,261.0,258.0,231,67,47,53,45,42,35,33.0,33,12,13,14,12,14,79,60.0,67,57,56,242,243.0,225.0,222.0,178,,,,,,130102000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Tybee Island Maritime Academy School,Chatham County,13051.0,31328.0,Tybee Island,8,12,284,231.0,0,0,229,192,33,19,12,7,2,1,0,0,1301020.0
2274,UHS OF LAUREL HEIGHTS,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,40,40.0,41.0,49.0,27,3,6,3,3,3,3,6.0,3,0,0,0,0,0,3,6.0,3,3,3,13,19.0,23.0,33.0,18,23,21.0,18.0,16.0,9,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,1st Grade,UHS of Laurel Heights,DeKalb County,13089.0,30306.0,Atlanta,0,0,40,27.0,0,0,21,10,17,16,2,1,0,0,0,0,1301740.0
2275,UHS OF SAVANNAH COASTAL HARBOR TREATMENT CENTER,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,53,60.0,23.0,37.0,12,9,57,20,34,9,8,18.0,10,0,0,0,0,0,9,57.0,20,34,9,27,29.0,8.0,20.0,9,24,31.0,15.0,17.0,3,130102000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,2nd Grade,UHS of Savannah Coastal Harbor Treatment Center,Chatham County,13051.0,31406.0,Savannah,2,0,53,12.0,0,0,27,4,20,7,3,1,1,0,0,0,1301020.0
2276,UNIDOS DUAL LANGUAGE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,461,439.0,662.0,800.0,760,427,437,659,796,726,121,185.0,258,0,0,0,0,0,427,437.0,659,796,726,316,339.0,535.0,628.0,574,,,,,,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Unidos Dual Language School,Clayton County,13063.0,30297.0,Forest Park,10,18,461,760.0,0,0,6,5,172,347,273,381,0,9,0,0,1301230.0
2277,UNION COUNTY ELEMENTARY SCHOOL,Georgia,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,588,624.0,644.0,614.0,596,248,263,301,321,306,143,127.0,197,70,80,85,91,80,318,343.0,386,412,386,578,624.0,644.0,614.0,596,,,,,,130525000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,3rd Grade,Union County Elementary School,Union County,13291.0,30512.0,Blairsville,14,22,588,596.0,0,0,534,549,4,1,33,22,2,2,1,0,1305250.0
2278,UNION COUNTY HIGH SCHOOL,Georgia,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,860,836.0,836.0,825.0,801,274,289,293,321,306,129,122.0,156,117,96,94,109,104,391,385.0,387,430,410,,,,,,860,836.0,836.0,825.0,801,130525000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Union County High School,Union County,13291.0,30512.0,Blairsville,23,12,860,801.0,0,0,795,752,3,3,33,27,6,6,0,1,1305250.0
2279,UNION COUNTY MIDDLE SCHOOL,Georgia,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,680,663.0,635.0,621.0,625,296,269,271,286,285,152,130.0,179,88,121,82,58,81,384,390.0,353,344,366,670,663.0,635.0,621.0,625,,,,,,130525000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Union County Middle School,Union County,13291.0,30512.0,Blairsville,17,8,680,625.0,0,0,628,590,0,3,31,18,4,6,0,0,1305250.0
2280,UNION COUNTY PRIMARY SCHOOL,Georgia,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,706,707.0,675.0,642.0,641,327,316,354,374,388,135,128.0,216,72,95,85,74,59,399,411.0,439,448,447,386,381.0,370.0,379.0,432,,,,,,130525000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,2nd Grade,Prekindergarten,Union County Primary School,Union County,13291.0,30512.0,Blairsville,18,13,706,641.0,0,0,639,592,4,2,42,31,2,2,1,1,1305250.0
2281,UNION ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,492,464.0,452.0,473.0,483,163,149,162,173,207,91,74.0,98,45,44,45,52,51,208,193.0,207,225,258,392,377.0,377.0,396.0,406,,,,,,130402000000.0,6-Not a Title I school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Union Elementary School,Paulding County,13223.0,30179.0,Temple,19,20,492,483.0,1,0,406,408,44,36,21,17,1,0,0,2,1304020.0
2282,UNION ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,12-City: Mid-size,12-City: Mid-size,486,505.0,507.0,548.0,653,481,501,502,543,643,279,308.0,290,0,0,0,0,0,481,501.0,502,543,643,370,394.0,399.0,413.0,488,,,,,,130042000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Union Elementary School,Bibb County,13021.0,31210.0,Macon,7,14,486,653.0,0,0,11,15,462,611,5,12,1,1,0,0,1300420.0
2283,UNION GROVE HIGH,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1547,1536.0,1532.0,1495.0,1574,270,312,262,245,279,142,193.0,138,67,56,71,63,75,337,368.0,333,308,354,,,,,,1547,1536.0,1532.0,1495.0,1574,130282000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Union Grove High,Henry County,13151.0,30252.0,McDonough,47,45,1547,1574.0,0,1,774,941,545,464,89,62,92,59,0,2,1302820.0
2284,UNION GROVE MIDDLE,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1040,993.0,1003.0,1021.0,1008,227,247,223,212,201,107,158.0,127,55,47,54,56,52,282,294.0,277,268,253,1030,993.0,1003.0,1021.0,1008,,,,,,130282000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Union Grove Middle,Henry County,13151.0,30252.0,McDonough,57,30,1040,1008.0,2,0,424,594,428,306,73,38,55,39,1,1,1302820.0
2285,UNION POINT ELEMENTARY,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,253,332.0,355.0,360.0,357,247,325,339,355,352,105,164.0,253,0,0,0,0,0,247,325.0,339,355,352,202,288.0,303.0,319.0,293,,,,,,130249000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,Union Point Elementary,Greene County,13133.0,30669.0,Union Point,11,15,253,357.0,0,0,53,92,151,197,37,51,0,1,1,1,1302490.0
2286,UNITY ELEMENTARY SCHOOL (PK-5),Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,349,381.0,369.0,429.0,458,321,381,339,384,421,107,167.0,164,0,0,0,0,0,321,381.0,339,384,421,228,273.0,267.0,312.0,335,,,,,,130363000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Unity Elementary School (PK-5),Meriwether County,13199.0,30251.0,Luthersville,21,17,349,458.0,0,0,140,217,165,202,23,20,0,0,0,2,1303630.0
2287,UNITY GROVE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,783,794.0,787.0,796.0,816,302,311,271,306,301,170,218.0,180,51,36,56,45,68,353,347.0,327,351,369,651,652.0,666.0,672.0,690,,,,,,130282000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Unity Grove Elementary School,Henry County,13151.0,30248.0,Locust Grove,36,33,783,816.0,0,0,535,620,142,105,69,55,1,2,0,1,1302820.0
2288,UPSON-LEE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,897,904.0,643.0,615.0,569,824,664,475,454,424,824,664.0,310,0,0,0,0,0,824,664.0,475,454,424,887,904.0,643.0,615.0,569,,,,,,130528000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,3rd Grade,Upson-Lee Elementary School,Upson County,13293.0,30286.0,Thomaston,42,29,897,569.0,1,0,497,328,322,190,30,17,5,4,0,1,1305280.0
2289,UPSON-LEE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1224,1311.0,1340.0,1314.0,1300,840,965,989,970,966,840,965.0,512,0,0,0,0,0,840,965.0,989,970,966,,,,,,1224,1311.0,1340.0,1314.0,1300,130528000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Upson-Lee High School,Upson County,13293.0,30286.0,Thomaston,48,27,1224,1300.0,0,5,710,748,425,480,32,35,6,5,3,0,1305280.0
2290,UPSON-LEE MIDDLE SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,928,906.0,877.0,934.0,1000,772,668,647,689,741,772,668.0,507,0,0,0,0,0,772,668.0,647,689,741,918,906.0,877.0,934.0,1000,,,,,,130528000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Upson-Lee Middle School,Upson County,13293.0,30286.0,Thomaston,38,38,928,1000.0,0,0,497,595,344,338,44,24,4,3,1,2,1305280.0
2291,UPSON-LEE PRIMARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1040,1029.0,1320.0,1350.0,1387,1025,1026,1300,1330,1374,878,884.0,885,0,0,0,0,0,1025,1026.0,1300,1330,1374,596,586.0,897.0,897.0,937,,,,,,130528000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),2nd Grade,Prekindergarten,Upson-Lee Primary School,Upson County,13293.0,30286.0,Thomaston,49,62,1040,1387.0,0,0,581,772,366,498,35,48,9,6,0,1,1305280.0
2292,UTOPIAN ACADEMY FOR THE ARTS CHARTER SCHOOL,GEORGIA,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,258,251.0,269.0,231.0,179,258,250,269,159,118,83,85.0,97,0,0,0,37,18,258,250.0,269,196,136,248,251.0,269.0,231.0,179,,,,,,130023000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Utopian Academy for the Arts Charter School,Clayton County,13063.0,30294.0,Ellenwood,0,0,258,179.0,0,0,2,0,242,175,14,1,0,3,0,0,1300233.0
2293,VALDOSTA EARLY COLLEGE ACADEMY,Georgia,,,,,13-City: Small,,,,,.,,,,,.,,,,,,,,.,,,,,.,,,,,.,,,,,.,130531000000.0,,,,,6-Not a Title I school,,,,,Yes under Community Eligibility Option (CEO),,,,,,,,,.,,0.0,,.,,.,,.,,.,,.,,.,1305310.0
2294,VALDOSTA HIGH SCHOOL,Georgia,41-Rural: Fringe,13-City: Small,13-City: Small,13-City: Small,13-City: Small,2191,2117.0,2103.0,2006.0,2037,2191,2117,2103,2003,2037,945,1053.0,1053,0,0,0,0,0,2191,2117.0,2103,2003,2037,,,,,,2191,2117.0,2103.0,2006.0,2037,130531000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Valdosta High School,Lowndes County,13185.0,31602.0,Valdosta,61,42,2191,2037.0,3,4,421,384,1578,1518,82,49,32,32,14,8,1305310.0
