School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
SPENCER HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,991,813,826,838,823,936,768,826,835,823,493,433,442,0,0,0,0,0,936,768,826,835,823,NA,NA,NA,NA,NA,991,813,826,838,823,1.30387E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Spencer High School,Muscogee County,13215,31903,Columbus,34,45,991,823,1,5,44,53,800,625,109,92,3,2,0,1,1303870
SPIRIT CREEK MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,564,567,485,482,538,544,546,469,467,521,239,326,228,0,0,0,0,0,544,546,469,467,521,554,567,485,482,538,NA,NA,NA,NA,NA,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Spirit Creek Middle School,Richmond County,13245,30815,Hephzibah,15,13,564,538,2,7,42,47,466,454,36,16,0,1,3,0,1304380
SPOUT SPRINGS ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,778,813,800,848,915,116,129,138,177,200,55,77,77,27,37,36,29,57,143,166,174,206,257,669,682,683,724,760,NA,NA,NA,NA,NA,1.30261E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Spout Springs Elementary School,Hall County,13139,30542,Flowery Branch,24,18,778,915,2,1,610,726,25,39,103,112,14,16,0,3,1302610
SPRAYBERRY HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1770,1705,1693,1759,1761,508,497,534,577,574,184,171,216,164,164,163,133,140,672,661,697,710,714,NA,NA,NA,NA,NA,1770,1705,1693,1759,1761,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Sprayberry High School,Cobb County,13067,30066,Marietta,87,67,1770,1761,2,1,660,757,503,531,377,270,132,128,9,7,1301290
SPRING HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,717,728,703,720,696,318,347,310,341,333,148,227,168,83,82,88,79,80,401,429,398,420,413,588,573,565,582,575,NA,NA,NA,NA,NA,1.30213E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Spring Hill Elementary School,Fayette County,13113,30215,Fayetteville,61,35,717,696,1,2,137,163,351,367,120,71,47,53,0,5,1302130
SPRING PLACE ELEMENTARY SCHOOL,Georgia,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,641,680,683,696,747,567,603,608,540,545,200,188,246,0,0,0,50,62,567,603,608,590,607,509,547,554,544,593,NA,NA,NA,NA,NA,1.30384E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,6th Grade,Prekindergarten,Spring Place Elementary School,Murray County,13213,30705,Chatsworth,2,3,641,747,0,0,372,447,2,1,264,289,1,0,0,7,1303840
SPRINGDALE ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,650,616,557,570,622,644,611,551,565,612,115,120,96,0,0,0,0,0,644,611,551,565,612,489,473,419,430,475,NA,NA,NA,NA,NA,1.30042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Springdale Elementary School,Bibb County,13021,31210,Macon,20,18,650,622,2,2,258,303,293,257,24,11,50,31,3,0,1300420
SPRINGDALE PARK ELEMENTARY SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,739,704,677,661,672,66,51,60,62,82,29,35,42,11,2,5,4,6,77,53,65,66,88,593,574,551,547,533,NA,NA,NA,NA,NA,1.30012E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,Springdale Park Elementary School,DeKalb County,13089,30306,Atlanta,79,26,739,672,1,1,453,454,91,98,75,54,38,33,2,6,1300120
SPRINGFIELD ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,700,639,642,682,677,330,286,292,339,322,198,162,180,55,43,60,52,76,385,329,352,391,398,506,462,486,512,485,NA,NA,NA,NA,NA,1.30198E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Springfield Elementary School,Effingham County,13103,31329,Springfield,30,23,700,677,0,0,434,441,192,182,38,30,4,1,2,0,1301980
ST. GEORGE ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,176,178,170,172,165,93,112,111,125,120,34,30,53,38,24,24,10,13,131,136,135,135,133,128,132,128,125,124,NA,NA,NA,NA,NA,1.30099E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,6th Grade,Prekindergarten,St. George Elementary School,Charlton County,13049,31537,Folkston,10,6,176,165,0,0,157,158,2,0,7,1,0,0,0,0,1300990
ST. MARYS VIDEO AND COMMUNICATION TECHNOLOGY,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,494,355,394,406,439,466,335,394,403,439,346,231,239,0,0,0,0,0,466,335,394,403,439,413,309,342,345,360,NA,NA,NA,NA,NA,1.30387E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,St. Marys Video and Communication Technology,Muscogee County,13215,31907,Columbus,12,12,494,439,2,2,9,10,455,399,13,16,1,0,2,0,1303870
ST. SIMONS ELEMENTARY SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,590,604,571,579,572,260,271,270,276,304,162,163,172,30,36,25,19,23,290,307,295,295,327,433,469,431,424,398,NA,NA,NA,NA,NA,1.3024E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,St. Simons Elementary School,Glynn County,13127,31522,Saint Simons Island,19,10,590,572,2,0,348,341,132,126,81,91,6,2,2,2,1302400
STALLINGS ISLAND MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,724,693,592,562,561,96,104,60,65,67,28,56,34,24,25,21,20,17,120,129,81,85,84,714,693,592,562,561,NA,NA,NA,NA,NA,1.30141E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Stallings Island Middle School,Columbia County,13073,30907,Martinez,37,23,724,561,0,0,453,377,94,54,44,16,96,90,0,1,1301410
STARK ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,624,614,607,664,692,553,534,528,577,535,206,194,229,0,0,0,0,0,553,534,528,577,535,450,445,462,512,531,NA,NA,NA,NA,NA,1.30069E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Stark Elementary School,Butts County,13035,30233,Jackson,44,27,624,692,0,0,393,473,177,167,8,23,2,1,0,1,1300690
STARLING ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1099,1054,1006,979,995,373,358,311,308,337,115,151,93,94,86,102,86,83,467,444,413,394,420,918,884,857,844,841,NA,NA,NA,NA,NA,1.30255E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Starling Elementary School,Gwinnett County,13135,30017,Grayson,53,38,1099,995,1,1,255,363,519,377,172,138,99,77,0,1,1302550
STARRS MILL HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1385,1413,1418,1393,1420,54,72,85,104,106,19,55,48,29,20,32,23,27,83,92,117,127,133,NA,NA,NA,NA,NA,1385,1413,1418,1393,1420,1.30213E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Starrs Mill High School,Fayette County,13113,30215,Fayetteville,54,46,1385,1420,5,2,1033,1079,123,142,97,89,70,56,3,6,1302130
STATE BRIDGE CROSSING ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,777,772,811,822,825,76,22,96,96,100,25,18,40,17,70,13,19,23,93,92,109,115,123,624,601,654,663,667,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,State Bridge Crossing Elementary School,Fulton County,13121,30022,Alpharetta,40,42,777,825,1,1,377,428,89,82,49,70,219,201,2,1,1302280
STATESBORO HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,1662,1667,1630,1579,1540,854,911,884,865,812,545,679,679,105,84,82,66,84,959,995,966,931,896,NA,NA,NA,NA,NA,1640,1645,1608,1579,1540,1.30063E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Statesboro High School,Bulloch County,13031,30458,Statesboro,55,44,1662,1540,4,3,621,626,818,753,135,76,27,35,2,3,1300630
STATESBORO STEAM ACADEMY,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,175,160,148,155,147,58,52,43,41,42,20,3,3,64,41,35,29,24,122,93,78,70,66,78,80,68,87,71,87,80,80,68,76,1.30001E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,6th Grade,Statesboro STEAM Academy,Bulloch County,13031,30458,Statesboro,4,2,175,147,1,0,123,113,36,28,8,3,2,1,1,0,1300005
STATHAM ELEMENTARY SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,815,835,961,942,945,454,414,455,438,450,210,240,255,94,83,113,96,100,548,497,568,534,550,622,661,761,735,744,NA,NA,NA,NA,NA,1.30029E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Statham Elementary School,Barrow County,13013,30666,Statham,42,23,815,945,0,0,471,591,120,135,144,161,36,34,2,1,1300290
STEPHENS COUNTY FIFTH GRADE ACADEMY,GEORGIA,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,NA,310,324,298,292,NA,225,269,247,242,NA,134,120,134,0,0,0,0,NA,225,269,247,242,NA,296,324,298,292,NA,NA,NA,NA,NA,NA,1.30456E+11,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,2-Title I targeted assistance school,NA,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,NA,5th Grade,5th Grade,Stephens County Fifth Grade Academy,Stephens County,13257,30577,Toccoa,31,NA,310,NA,0,NA,220,NA,38,NA,19,NA,2,NA,0,NA,1304560
STEPHENS COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1106,1143,1145,1158,1122,487,479,479,510,487,351,334,353,80,94,84,87,97,567,573,563,597,584,NA,NA,NA,NA,NA,1106,1143,1145,1158,1122,1.30456E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Stephens County High School,Stephens County,13257,30577,Toccoa,63,47,1106,1122,2,3,823,884,163,133,45,48,9,6,1,1,1304560
STEPHENS COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,923,891,884,895,926,669,739,734,743,825,332,327,327,0,0,0,0,0,669,739,734,743,825,913,891,884,895,926,NA,NA,NA,NA,NA,1.30456E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Stephens County Middle School,Stephens County,13257,30577,Toccoa,73,57,923,926,2,1,686,699,111,129,42,34,9,6,0,0,1304560
STEPHENSON HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1443,1576,1601,1616,1599,851,915,884,931,937,415,477,494,119,80,89,122,140,970,995,973,1053,1077,NA,NA,NA,NA,NA,1443,1576,1601,1616,1599,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Stephenson High School,DeKalb County,13089,30087,Stone Mountain,17,25,1443,1599,2,1,13,10,1345,1521,61,33,3,5,2,4,1301740
STEPHENSON MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,955,943,1002,1016,1006,657,718,735,803,824,354,433,436,85,43,51,66,78,742,761,786,869,902,945,943,1002,1016,1006,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Stephenson Middle School,DeKalb County,13089,30087,Stone Mountain,11,12,955,1006,2,2,9,6,877,953,50,29,2,2,4,2,1301740
STERLING ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,843,836,880,854,818,526,526,579,567,539,331,321,367,64,50,59,55,67,590,576,638,622,606,630,661,678,653,637,NA,NA,NA,NA,NA,1.3024E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Sterling Elementary School,Glynn County,13127,31523,Brunswick,50,35,843,818,0,0,395,429,255,209,138,136,4,6,1,3,1302400
STEVENS CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,861,842,782,815,792,107,118,94,100,97,33,52,41,24,29,25,22,37,131,147,119,122,134,713,708,669,695,682,NA,NA,NA,NA,NA,1.30141E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stevens Creek Elementary School,Columbia County,13073,30907,Martinez,46,39,861,792,1,2,542,529,79,78,45,33,147,111,1,0,1301410
STEWART COUNTY ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,226,264,277,287,279,226,264,277,284,263,49,118,274,0,0,0,0,0,226,264,277,284,263,164,200,207,201,197,NA,NA,NA,NA,NA,1.30459E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,Stewart County Elementary School,Stewart County,13259,31815,Lumpkin,1,1,226,279,0,0,6,14,216,260,1,3,0,1,2,0,1304590
STEWART COUNTY HIGH SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,128,111,127,124,129,128,111,127,121,122,56,51,124,0,0,0,0,0,128,111,127,121,122,NA,NA,NA,NA,NA,128,111,127,124,129,1.30459E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,12th Grade,9th Grade,Stewart County High School,Stewart County,13259,31815,Lumpkin,0,1,128,129,0,0,5,2,122,126,1,0,0,0,0,0,1304590
STEWART COUNTY MIDDLE SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,98,104,109,107,108,98,104,109,104,102,58,42,106,0,0,0,0,0,98,104,109,104,102,88,104,109,107,108,NA,NA,NA,NA,NA,1.30459E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Provision 2,8th Grade,6th Grade,Stewart County Middle School,Stewart County,13259,31815,Lumpkin,1,0,98,108,0,0,3,3,94,104,0,1,0,0,0,0,1304590
STEWART MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,603,575,560,537,562,436,433,428,427,434,259,249,237,67,41,33,30,43,503,474,461,457,477,593,575,560,537,562,NA,NA,NA,NA,NA,1.30186E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Stewart Middle School,Douglas County,13097,30134,Douglasville,23,9,603,562,1,0,21,34,475,443,81,74,0,1,2,1,1301860
STILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,738,774,784,771,770,114,124,125,131,135,53,49,59,41,44,41,34,49,155,168,166,165,184,622,635,648,638,637,NA,NA,NA,NA,NA,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Still Elementary School,Cobb County,13067,30127,Powder Springs,41,41,738,770,0,1,379,462,196,171,93,69,28,24,1,2,1301290
STILSON ELEMENTARY SCHOOL,Georgia,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,391,386,389,359,344,201,198,185,190,183,113,131,145,22,26,33,26,36,223,224,218,216,219,284,290,280,267,274,NA,NA,NA,NA,NA,1.30063E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Stilson Elementary School,Bulloch County,13031,30415,Brooklet,16,19,391,344,0,0,340,306,14,16,20,1,0,2,1,0,1300630
